"Tag was successfully deleted.","Tag was successfully deleted."
"Tag was successfully saved","Tag was successfully saved"
"Tag","Tag"
"Tags","Tags"
"Text to appear below the input.","Text to appear below the input."
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The article attribute has been deleted.","The article attribute has been deleted."
"The article attribute has been saved.","The article attribute has been saved."
"The articles has been deleted.","The articles has been deleted."
"The categories has been deleted.","The categories has been deleted."
"The category has been saved.","The category has been saved."
"The tags has been deleted.","The tags has been deleted."
"There was a problem saving the article.","There was a problem saving the article."
"There was a problem saving the category.","There was a problem saving the category."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the tag.","There was a problem saving the tag."
"There was an error deleting article.","There was an error deleting article."
"There was an error deleting articles.","There was an error deleting articles."
"There was an error deleting categories.","There was an error deleting categories."
"There was an error deleting category.","There was an error deleting category."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting tag.","There was an error deleting tag."
"There was an error deleting tags.","There was an error deleting tags."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating articles.","There was an error updating articles."
"There was an error updating categories.","There was an error updating categories."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating tags.","There was an error updating tags."
"This article attribute cannot be edited.","This article attribute cannot be edited."
"This article attribute no longer exists","This article attribute no longer exists"
"This article does not allow comments","This article does not allow comments"
"This article no longer exists.","This article no longer exists."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This category no longer exists.","This category no longer exists."
"This comment no longer exists.","This comment no longer exists."
"This tag no longer exists.","This tag no longer exists."
"Title","Title"
"Total Votes","Total Votes"
"Total of %d articles were successfully deleted.","Total of %d articles were successfully deleted."
"Total of %d articles were successfully updated.","Total of %d articles were successfully updated."
"Total of %d categories were successfully deleted.","Total of %d categories were successfully deleted."
"Total of %d categories were successfully updated.","Total of %d categories were successfully updated."
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d tags were successfully deleted.","Total of %d tags were successfully deleted."
"Total of %d tags were successfully updated.","Total of %d tags were successfully updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find article to save.","Unable to find article to save."
"Unable to find category to save.","Unable to find category to save."
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find tag to save.","Unable to find tag to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for articles.","You have submitted no comments for articles."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"